id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,72,2020,happy;bright;summer,0.05,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,64,2020,chill;focused;late-night,0.85,0.08
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,58,2000,intense;driving;adrenaline,0.12,0.55
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,51,2020,chill;cozy;rainy-day,0.90,0.05
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,80,2010,intense;motivational;workout,0.03,0.20
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2010,chill;dreamy;weightless,0.97,0.10
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,49,1990,relaxed;warm;acoustic,0.70,0.65
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,68,2020,moody;nocturnal;retro,0.55,0.12
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,60,2020,focused;steady;study,0.88,0.06
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,66,2010,happy;golden-hour;anthemic,0.10,0.30
11,Concrete Poetry,MC Verse,hip hop,confident,0.68,95,0.62,0.81,0.12,78,2010,confident;gritty;urban,0.02,0.15
12,Dust Road Home,Clay County,country,nostalgic,0.45,100,0.58,0.55,0.75,55,1990,nostalgic;warm;storytelling,0.05,0.30
13,Moonlight Study No. 3,Elena Voss,classical,calm,0.15,66,0.35,0.20,0.97,40,1980,calm;elegant;pensive,0.95,0.60
14,Iron Cathedral,Forgemind,metal,aggressive,0.97,165,0.30,0.55,0.03,62,2000,aggressive;dark;epic,0.10,0.45
15,Bassline Horizon,DJ Nova,edm,euphoric,0.94,128,0.80,0.93,0.04,85,2020,euphoric;festival;uplifting,0.60,0.25
16,Velvet Hours,Amber Lane,r&b,romantic,0.52,88,0.68,0.70,0.40,70,2010,romantic;smooth;late-night,0.03,0.12
17,Fading Photographs,Willow & Pine,indie folk,sad,0.25,74,0.28,0.35,0.90,48,2010,sad;nostalgic;intimate,0.08,0.40
18,Neon Tears,Neon Echo,synthwave,sad,0.78,112,0.35,0.74,0.15,66,2020,sad;driving;bittersweet,0.40,0.10
19,Isla Caliente,Rumba Vista,reggaeton,happy,0.88,96,0.90,0.95,0.10,82,2020,happy;summer;party,0.01,0.20
20,Sunday Morning Soul,The Gold Tones,soul,uplifting,0.60,105,0.85,0.72,0.55,58,1970,uplifting;warm;classic,0.02,0.50
